"Location";"Province_State_country";"Section";"OffPaleolong";"OffPaleolat"
"Italy_Col_di_Rioda";"Italy";"Col_di_Rioda";25,7438;5,0605
"Italy_Strigno";"Italy";"Strigno";24,9014;5,256
"Italy_Vigo_di_Fassa3";"Italy";"Vigo_di_Fassa3";25,2583;5,4693
"Italy_Vigo_di_Fassa2";"Italy";"Vigo_di_Fassa2";25,2416;5,4291
"Italy_Vigo_di_Fassa1";"Italy";"Vigo_di_Fassa1";25,2011;5,468
"Italy_Capelluzzo";"Italy";"Capelluzzo";23,6158;-0,9427
"Italy_Aronzo_Pelos";"Italy";"Aronzo_Pelos";25,6703;5,1406
"Italy_Cencenighe";"Italy";"Cencenighe";25,3218;5,266
"Italy_Verla";"Italy";"Verla";24,7729;5,4936
"Italy_Sotto";"Italy";"Sotto";25,4231;5,1683
"Italy_Pietra_di_Saracini";"Italy";"Pietra_di_Saracini";20,399;-1,9691
"Italy_San_Calogero";"Italy";"San_Calogero";20,4003;-1,9743
"Austria_Gartnerkofel";"Austria";"Gartnerkofel";26,1625;4,8199
"Austria_Reppwand";"Austria";"Reppwand";26,1625;4,8199
"Slovenia_Skopacnik";"Slovenia";"Skopacnik";26,4104;3,7733
"Slovenia_Mokrice";"Slovenia";"Mokrice";26,96;3,2242
"Slovenia_Masore1";"Slovenia";"Masore1";26,1971;4,1319
"Slovenia_Masore2";"Slovenia";"Masore2";26,1941;4,1311
"Slovenia_Lukac";"Slovenia";"Lukac";26,2333;4,0925
"Slovenia_Ziri_Sortinica";"Slovenia";"Ziri_Sortinica";26,2346;4,0601
"Slovenia_Ziri_Vrznik";"Slovenia";"Ziri_Vrznik";26,2375;4,0529
"Slovenia_Ziri_road_cut";"Slovenia";"Ziri_road_cut";26,2294;4,0609
"Slovenia_Krkoc";"Slovenia";"Krkoc";26,2098;4,1094
"Slovenia_Golob";"Slovenia";"Golob";26,2074;4,114
"Slovenia_Studorski_preval";"Slovenia";"Studorski_preval";26,3247;4,3961
"Slovenia_Trzic";"Slovenia";"Trzic";26,5672;4,2123
"Slovenia_Zelin_Vrlejca";"Slovenia";"Zelin_Vrlejca";26,1977;4,1749
"Slovenia_Tehovec";"Slovenia";"Tehovec";26,4265;3,9963
"Croatia_Plavno";"Croatia";"Plavno";26,1549;1,6736
"Bosnia_Herzegovina_Bosansko_Grahovo";"Bosnia_Herzegovina";"Bosansko_Grahovo";26,2588;1,6417
"Bosnia_Herzegovina_Teocak";"Bosnia_Herzegovina";"Teocak";29,831;-2,1759
"Croatia_Zelovo";"Croatia";"Zelovo";26,1283;1,1946
"Bosnia_Herzegovina_Bravnice";"Bosnia_Herzegovina";"Bravnice";26,8296;1,306
"Croatia_Skolski_Brijeg";"Croatia";"Skolski_Brijeg";26,1202;3,2959
"Croatia_Zelin_Crnoluski";"Croatia";"Zelin_Crnoluski";26,1425;3,3022
"Serbia_Sitaricka_Glavica";"Serbia";"Sitaricka_Glavica";29,9822;-2,7698
"Serbia_Krivi_potok";"Serbia";"Krivi_potok";29,8575;-2,3888
"Serbia_Komiric";"Serbia";"Komiric";29,9972;-2,5458
"Greece_Chios_A-C";"Greece";"Chios_A-C";35,9762;12,9129
